Files already downloaded and verified
Files already downloaded and verified
2020-05-17 14:23:29.858575: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcudart.so.10.1
Epoch 1, lr 0.100000
22:38:19 train - loss: 0.2731, acc: 0.9070
22:38:23 valid - loss: 0.8890, acc: 0.7472
Epoch 21, lr 0.394188
22:39:04 train - loss: 0.2703, acc: 0.9074
22:39:07 valid - loss: 0.4684, acc: 0.8460
Epoch 22, lr 0.393392
22:39:48 train - loss: 0.2729, acc: 0.9054
22:39:51 valid - loss: 0.5327, acc: 0.8221
Epoch 23, lr 0.392546
22:40:32 train - loss: 0.2606, acc: 0.9113
22:40:35 valid - loss: 0.8572, acc: 0.7406
Epoch 24, lr 0.391649
22:41:16 train - loss: 0.2560, acc: 0.9114
22:41:19 valid - loss: 0.6545, acc: 0.7937
Epoch 25, lr 0.390703
22:42:00 train - loss: 0.2582, acc: 0.9103
22:42:03 valid - loss: 0.9433, acc: 0.6986
Epoch 26, lr 0.389707
22:42:44 train - loss: 0.2570, acc: 0.9115
22:42:47 valid - loss: 0.7081, acc: 0.7656
Epoch 27, lr 0.388662
22:43:28 train - loss: 0.2548, acc: 0.9127
22:43:31 valid - loss: 0.6355, acc: 0.7920
Epoch 28, lr 0.387568
22:44:12 train - loss: 0.2532, acc: 0.9130
22:44:15 valid - loss: 0.6260, acc: 0.7937
Epoch 29, lr 0.386426
22:44:56 train - loss: 0.2488, acc: 0.9132
22:44:59 valid - loss: 0.5023, acc: 0.8346
Epoch 30, lr 0.385235
22:45:40 train - loss: 0.2532, acc: 0.9133
22:45:43 valid - loss: 0.5498, acc: 0.8143
Epoch 31, lr 0.383996
22:46:24 train - loss: 0.2443, acc: 0.9162
22:46:27 valid - loss: 0.7874, acc: 0.7740
Epoch 32, lr 0.382709
22:47:08 train - loss: 0.2438, acc: 0.9149
22:47:11 valid - loss: 0.8594, acc: 0.7361
Epoch 33, lr 0.381375
22:47:52 train - loss: 0.2456, acc: 0.9154
22:47:55 valid - loss: 0.5597, acc: 0.8242
Epoch 34, lr 0.379994
22:48:36 train - loss: 0.2416, acc: 0.9167
22:48:39 valid - loss: 0.6487, acc: 0.7948
Epoch 35, lr 0.378566
22:49:20 train - loss: 0.2447, acc: 0.9156
22:49:23 valid - loss: 0.5072, acc: 0.8355
Epoch 36, lr 0.377091
22:50:04 train - loss: 0.2376, acc: 0.9184
22:50:07 valid - loss: 0.5856, acc: 0.8142
Epoch 37, lr 0.375571
22:50:48 train - loss: 0.2348, acc: 0.9196
22:50:52 valid - loss: 0.3792, acc: 0.8736
Epoch 38, lr 0.374005
22:51:33 train - loss: 0.2370, acc: 0.9173
22:51:36 valid - loss: 0.9270, acc: 0.7429
Epoch 39, lr 0.372394
22:52:17 train - loss: 0.2289, acc: 0.9224
22:52:20 valid - loss: 0.7500, acc: 0.7849
Epoch 40, lr 0.370738
22:53:01 train - loss: 0.2307, acc: 0.9198
22:53:04 valid - loss: 0.4422, acc: 0.8533
Epoch 41, lr 0.369038
22:53:45 train - loss: 0.2350, acc: 0.9198
22:53:48 valid - loss: 0.6043, acc: 0.8025
Epoch 42, lr 0.367294
22:54:29 train - loss: 0.2286, acc: 0.9204
22:54:32 valid - loss: 0.5070, acc: 0.8387
Epoch 43, lr 0.365507
22:55:13 train - loss: 0.2282, acc: 0.9231
22:55:16 valid - loss: 0.5570, acc: 0.8201
Epoch 44, lr 0.363676
22:55:57 train - loss: 0.2259, acc: 0.9215
22:56:00 valid - loss: 0.9021, acc: 0.7382
Epoch 45, lr 0.361803
22:56:41 train - loss: 0.2329, acc: 0.9204
22:56:44 valid - loss: 0.5485, acc: 0.8202
Epoch 46, lr 0.359889
22:57:25 train - loss: 0.2236, acc: 0.9242
22:57:28 valid - loss: 0.4755, acc: 0.8445
Epoch 47, lr 0.357932
22:58:09 train - loss: 0.2267, acc: 0.9222
22:58:12 valid - loss: 0.4256, acc: 0.8595
Epoch 48, lr 0.355935
22:58:53 train - loss: 0.2264, acc: 0.9221
22:58:56 valid - loss: 0.7466, acc: 0.7602
Epoch 49, lr 0.353897
22:59:37 train - loss: 0.2167, acc: 0.9261
22:59:40 valid - loss: 0.4503, acc: 0.8588
Epoch 50, lr 0.351819
23:00:21 train - loss: 0.2154, acc: 0.9256
23:00:24 valid - loss: 0.5815, acc: 0.8138
Epoch 51, lr 0.349702
23:01:05 train - loss: 0.2182, acc: 0.9250
23:01:08 valid - loss: 0.7280, acc: 0.7851
Epoch 52, lr 0.347546
23:01:49 train - loss: 0.2127, acc: 0.9268
23:01:52 valid - loss: 0.5457, acc: 0.8290
Epoch 53, lr 0.345352
23:02:33 train - loss: 0.2139, acc: 0.9268
23:02:36 valid - loss: 0.5072, acc: 0.8425
Epoch 54, lr 0.343120
23:03:17 train - loss: 0.2070, acc: 0.9293
23:03:20 valid - loss: 0.6749, acc: 0.8010
Epoch 55, lr 0.340851
23:04:01 train - loss: 0.2179, acc: 0.9246
23:04:04 valid - loss: 0.8154, acc: 0.7476
Epoch 56, lr 0.338545
23:04:45 train - loss: 0.2062, acc: 0.9293
23:04:48 valid - loss: 0.4679, acc: 0.8443
Epoch 57, lr 0.336203
23:05:29 train - loss: 0.2103, acc: 0.9277
23:05:33 valid - loss: 0.5790, acc: 0.8303
Epoch 58, lr 0.333826
23:06:14 train - loss: 0.2093, acc: 0.9270
23:06:17 valid - loss: 0.7665, acc: 0.7893
Epoch 59, lr 0.331414
23:06:58 train - loss: 0.2058, acc: 0.9288
23:07:01 valid - loss: 0.6993, acc: 0.7979
Epoch 60, lr 0.328968
23:07:42 train - loss: 0.2018, acc: 0.9297
23:07:45 valid - loss: 0.6227, acc: 0.8131
Epoch 61, lr 0.326489
23:08:26 train - loss: 0.1995, acc: 0.9293
23:08:29 valid - loss: 0.5897, acc: 0.8176
Epoch 62, lr 0.323977
23:09:10 train - loss: 0.2025, acc: 0.9312
23:09:13 valid - loss: 0.4136, acc: 0.8652
Epoch 63, lr 0.321433
23:09:54 train - loss: 0.2010, acc: 0.9300
23:09:57 valid - loss: 0.4482, acc: 0.8536
Epoch 64, lr 0.318857
23:10:38 train - loss: 0.1934, acc: 0.9339
23:10:41 valid - loss: 0.7934, acc: 0.7969
Epoch 65, lr 0.316250
23:11:22 train - loss: 0.1996, acc: 0.9303
23:11:25 valid - loss: 0.8836, acc: 0.7416
Epoch 66, lr 0.313613
23:12:06 train - loss: 0.1948, acc: 0.9329
23:12:09 valid - loss: 0.4291, acc: 0.8575
Epoch 67, lr 0.310947
23:12:50 train - loss: 0.1938, acc: 0.9334
23:12:53 valid - loss: 0.5923, acc: 0.8182
Epoch 68, lr 0.308251
23:13:34 train - loss: 0.1920, acc: 0.9340
23:13:37 valid - loss: 0.6746, acc: 0.7901
Epoch 69, lr 0.305528
23:14:18 train - loss: 0.1860, acc: 0.9359
23:14:21 valid - loss: 0.6969, acc: 0.7972
Epoch 70, lr 0.302777
23:15:02 train - loss: 0.1902, acc: 0.9345
23:15:05 valid - loss: 0.5211, acc: 0.8412
Epoch 71, lr 0.300000
23:15:46 train - loss: 0.1809, acc: 0.9378
23:15:49 valid - loss: 0.5495, acc: 0.8340
Epoch 72, lr 0.297197
23:16:30 train - loss: 0.1841, acc: 0.9367
23:16:33 valid - loss: 0.5128, acc: 0.8406
Epoch 73, lr 0.294368
23:17:14 train - loss: 0.1851, acc: 0.9364
23:17:17 valid - loss: 0.6021, acc: 0.8102
Epoch 74, lr 0.291515
23:17:58 train - loss: 0.1766, acc: 0.9376
23:18:02 valid - loss: 0.7178, acc: 0.7978
Epoch 75, lr 0.288638
23:18:43 train - loss: 0.1828, acc: 0.9371
23:18:46 valid - loss: 0.5209, acc: 0.8412
Epoch 76, lr 0.285739
23:19:27 train - loss: 0.1776, acc: 0.9391
23:19:30 valid - loss: 0.6027, acc: 0.8205
Epoch 77, lr 0.282816
23:20:11 train - loss: 0.1741, acc: 0.9406
23:20:14 valid - loss: 0.4581, acc: 0.8528
Epoch 78, lr 0.279873
23:20:55 train - loss: 0.1750, acc: 0.9401
23:20:58 valid - loss: 1.3925, acc: 0.6636
Epoch 79, lr 0.276909
23:21:39 train - loss: 0.1754, acc: 0.9388
23:21:42 valid - loss: 0.5290, acc: 0.8318
Epoch 80, lr 0.273924
23:22:23 train - loss: 0.1674, acc: 0.9428
23:22:26 valid - loss: 0.7540, acc: 0.7920
Epoch 81, lr 0.270921
23:23:07 train - loss: 0.1702, acc: 0.9423
23:23:10 valid - loss: 0.6621, acc: 0.7964
Epoch 82, lr 0.267899
23:23:51 train - loss: 0.1618, acc: 0.9439
23:23:54 valid - loss: 0.9017, acc: 0.7686
Epoch 83, lr 0.264860
23:24:35 train - loss: 0.1640, acc: 0.9433
23:24:38 valid - loss: 0.3492, acc: 0.8816
Epoch 84, lr 0.261803
23:25:19 train - loss: 0.1651, acc: 0.9428
23:25:22 valid - loss: 0.4428, acc: 0.8630
Epoch 85, lr 0.258731
23:26:03 train - loss: 0.1578, acc: 0.9454
23:26:06 valid - loss: 0.4773, acc: 0.8552
Epoch 86, lr 0.255643
23:26:47 train - loss: 0.1549, acc: 0.9469
23:26:50 valid - loss: 0.4988, acc: 0.8419
Epoch 87, lr 0.252541
23:27:31 train - loss: 0.1557, acc: 0.9465
23:27:34 valid - loss: 0.4223, acc: 0.8727
Epoch 88, lr 0.249426
23:28:15 train - loss: 0.1535, acc: 0.9477
23:28:18 valid - loss: 0.6473, acc: 0.8149
Epoch 89, lr 0.246297
23:28:59 train - loss: 0.1535, acc: 0.9475
23:29:02 valid - loss: 0.9424, acc: 0.7524
Epoch 90, lr 0.243157
23:29:43 train - loss: 0.1521, acc: 0.9478
23:29:46 valid - loss: 0.4981, acc: 0.8521
Epoch 91, lr 0.240005
23:30:27 train - loss: 0.1511, acc: 0.9471
23:30:30 valid - loss: 0.3955, acc: 0.8695
Epoch 92, lr 0.236843
23:31:11 train - loss: 0.1508, acc: 0.9474
23:31:15 valid - loss: 0.3816, acc: 0.8781
Epoch 93, lr 0.233671
23:31:56 train - loss: 0.1422, acc: 0.9513
23:31:59 valid - loss: 0.5786, acc: 0.8324
Epoch 94, lr 0.230491
23:32:40 train - loss: 0.1485, acc: 0.9492
23:32:43 valid - loss: 0.4778, acc: 0.8539
Epoch 95, lr 0.227303
23:33:24 train - loss: 0.1451, acc: 0.9504
23:33:27 valid - loss: 0.4218, acc: 0.8714
Epoch 96, lr 0.224107
23:34:08 train - loss: 0.1395, acc: 0.9519
23:34:11 valid - loss: 0.5865, acc: 0.8351
Epoch 97, lr 0.220906
23:34:52 train - loss: 0.1313, acc: 0.9552
23:34:55 valid - loss: 0.6877, acc: 0.8256
Epoch 98, lr 0.217699
23:35:36 train - loss: 0.1348, acc: 0.9543
23:35:39 valid - loss: 0.4094, acc: 0.8767
Epoch 99, lr 0.214487
23:36:20 train - loss: 0.1376, acc: 0.9530
23:36:23 valid - loss: 0.4746, acc: 0.8536
Epoch 100, lr 0.211272
23:37:04 train - loss: 0.1319, acc: 0.9552
23:37:07 valid - loss: 0.4348, acc: 0.8675
Epoch 101, lr 0.208053
23:37:48 train - loss: 0.1308, acc: 0.9553
23:37:51 valid - loss: 0.4966, acc: 0.8505
Epoch 102, lr 0.204833
23:38:33 train - loss: 0.1313, acc: 0.9556
23:38:36 valid - loss: 0.3434, acc: 0.8958
Epoch 103, lr 0.201611
23:39:17 train - loss: 0.1190, acc: 0.9600
23:39:20 valid - loss: 0.4732, acc: 0.8569
Epoch 104, lr 0.198389
23:40:01 train - loss: 0.1233, acc: 0.9584
23:40:04 valid - loss: 0.6827, acc: 0.8093
Epoch 105, lr 0.195167
23:40:45 train - loss: 0.1189, acc: 0.9595
23:40:48 valid - loss: 0.6445, acc: 0.8192
Epoch 106, lr 0.191947
23:41:29 train - loss: 0.1231, acc: 0.9574
23:41:32 valid - loss: 0.3246, acc: 0.8979
Epoch 107, lr 0.188728
23:42:13 train - loss: 0.1125, acc: 0.9618
23:42:16 valid - loss: 0.2982, acc: 0.8972
Epoch 108, lr 0.185513
23:42:57 train - loss: 0.1128, acc: 0.9613
23:43:00 valid - loss: 0.4385, acc: 0.8684
Epoch 109, lr 0.182301
23:43:41 train - loss: 0.1081, acc: 0.9638
23:43:44 valid - loss: 0.6082, acc: 0.8498
Epoch 110, lr 0.179094
23:44:25 train - loss: 0.1064, acc: 0.9633
23:44:28 valid - loss: 0.4082, acc: 0.8695
Epoch 111, lr 0.175893
23:45:09 train - loss: 0.1117, acc: 0.9622
23:45:12 valid - loss: 0.4608, acc: 0.8647
Epoch 112, lr 0.172697
23:45:53 train - loss: 0.1025, acc: 0.9650
23:45:56 valid - loss: 0.5083, acc: 0.8524
Epoch 113, lr 0.169509
23:46:37 train - loss: 0.1015, acc: 0.9650
23:46:40 valid - loss: 0.5216, acc: 0.8512
Epoch 114, lr 0.166329
23:47:21 train - loss: 0.1002, acc: 0.9655
23:47:24 valid - loss: 0.3582, acc: 0.8902
Epoch 115, lr 0.163157
23:48:05 train - loss: 0.0962, acc: 0.9674
23:48:08 valid - loss: 0.3811, acc: 0.8838
Epoch 116, lr 0.159995
23:48:49 train - loss: 0.0981, acc: 0.9663
23:48:52 valid - loss: 0.4358, acc: 0.8716
Epoch 117, lr 0.156843
23:49:33 train - loss: 0.0940, acc: 0.9677
23:49:36 valid - loss: 0.2990, acc: 0.9032
Epoch 118, lr 0.153703
23:50:17 train - loss: 0.0904, acc: 0.9699
23:50:20 valid - loss: 0.4043, acc: 0.8823
Epoch 119, lr 0.150574
23:51:02 train - loss: 0.0875, acc: 0.9706
23:51:05 valid - loss: 0.3947, acc: 0.8827
Epoch 120, lr 0.147459
23:51:46 train - loss: 0.0841, acc: 0.9719
23:51:49 valid - loss: 0.3976, acc: 0.8816
Epoch 121, lr 0.144357
23:52:30 train - loss: 0.0882, acc: 0.9702
23:52:33 valid - loss: 0.3919, acc: 0.8823
Epoch 122, lr 0.141269
23:53:14 train - loss: 0.0843, acc: 0.9713
23:53:17 valid - loss: 0.4132, acc: 0.8803
Epoch 123, lr 0.138197
23:53:58 train - loss: 0.0833, acc: 0.9720
23:54:01 valid - loss: 0.3413, acc: 0.8961
Epoch 124, lr 0.135140
23:54:42 train - loss: 0.0795, acc: 0.9736
23:54:45 valid - loss: 0.3444, acc: 0.8998
Epoch 125, lr 0.132101
23:55:26 train - loss: 0.0782, acc: 0.9739
23:55:29 valid - loss: 0.4437, acc: 0.8693
Epoch 126, lr 0.129079
23:56:10 train - loss: 0.0714, acc: 0.9764
23:56:13 valid - loss: 0.3195, acc: 0.9073
Epoch 127, lr 0.126076
23:56:54 train - loss: 0.0685, acc: 0.9774
23:56:57 valid - loss: 0.3598, acc: 0.8901
Epoch 128, lr 0.123091
23:57:38 train - loss: 0.0700, acc: 0.9763
23:57:41 valid - loss: 0.3098, acc: 0.9024
Epoch 129, lr 0.120127
23:58:22 train - loss: 0.0663, acc: 0.9786
23:58:25 valid - loss: 0.4053, acc: 0.8876
Epoch 130, lr 0.117184
23:59:06 train - loss: 0.0685, acc: 0.9774
23:59:09 valid - loss: 0.3229, acc: 0.9002
Epoch 131, lr 0.114261
23:59:50 train - loss: 0.0634, acc: 0.9798
23:59:53 valid - loss: 0.3330, acc: 0.9004
Epoch 132, lr 0.111362
00:00:34 train - loss: 0.0610, acc: 0.9800
00:00:37 valid - loss: 0.3912, acc: 0.8858
Epoch 133, lr 0.108485
00:01:18 train - loss: 0.0581, acc: 0.9811
00:01:22 valid - loss: 0.3047, acc: 0.9084
Epoch 134, lr 0.105632
00:02:03 train - loss: 0.0513, acc: 0.9838
00:02:06 valid - loss: 0.3181, acc: 0.9012
Epoch 135, lr 0.102803
00:02:47 train - loss: 0.0512, acc: 0.9832
00:02:50 valid - loss: 0.2716, acc: 0.9180
Epoch 136, lr 0.100000
00:03:31 train - loss: 0.0488, acc: 0.9846
00:03:34 valid - loss: 0.4334, acc: 0.8840
Epoch 137, lr 0.097223
00:04:15 train - loss: 0.0454, acc: 0.9860
00:04:18 valid - loss: 0.3165, acc: 0.9088
Epoch 138, lr 0.094472
00:04:59 train - loss: 0.0448, acc: 0.9858
00:05:02 valid - loss: 0.2645, acc: 0.9170
Epoch 139, lr 0.091749
00:05:43 train - loss: 0.0442, acc: 0.9858
00:05:46 valid - loss: 0.2492, acc: 0.9240
Epoch 140, lr 0.089053
00:06:27 train - loss: 0.0400, acc: 0.9880
00:06:30 valid - loss: 0.3302, acc: 0.9030
Epoch 141, lr 0.086387
00:07:11 train - loss: 0.0418, acc: 0.9871
00:07:14 valid - loss: 0.2902, acc: 0.9155
Epoch 142, lr 0.083750
00:07:55 train - loss: 0.0387, acc: 0.9877
00:07:58 valid - loss: 0.3216, acc: 0.9093
Epoch 143, lr 0.081143
00:08:39 train - loss: 0.0418, acc: 0.9871
00:08:42 valid - loss: 0.3388, acc: 0.9022
Epoch 144, lr 0.078567
00:09:23 train - loss: 0.0316, acc: 0.9906
00:09:26 valid - loss: 0.2626, acc: 0.9192
Epoch 145, lr 0.076023
00:10:07 train - loss: 0.0340, acc: 0.9901
00:10:10 valid - loss: 0.3010, acc: 0.9132
Epoch 146, lr 0.073511
00:10:51 train - loss: 0.0263, acc: 0.9927
00:10:54 valid - loss: 0.2568, acc: 0.9245
Epoch 147, lr 0.071032
00:11:35 train - loss: 0.0232, acc: 0.9935
00:11:38 valid - loss: 0.2465, acc: 0.9308
Epoch 148, lr 0.068586
00:12:19 train - loss: 0.0241, acc: 0.9935
00:12:22 valid - loss: 0.2642, acc: 0.9220
Epoch 149, lr 0.066174
00:13:03 train - loss: 0.0232, acc: 0.9935
00:13:06 valid - loss: 0.2480, acc: 0.9256
Epoch 150, lr 0.063797
00:13:47 train - loss: 0.0186, acc: 0.9953
00:13:50 valid - loss: 0.2657, acc: 0.9239
Epoch 151, lr 0.061455
00:14:31 train - loss: 0.0161, acc: 0.9963
00:14:34 valid - loss: 0.2412, acc: 0.9316
Epoch 152, lr 0.059149
00:15:15 train - loss: 0.0150, acc: 0.9962
00:15:19 valid - loss: 0.2311, acc: 0.9334
Epoch 153, lr 0.056880
00:16:00 train - loss: 0.0137, acc: 0.9970
00:16:03 valid - loss: 0.2136, acc: 0.9371
Epoch 154, lr 0.054648
00:16:44 train - loss: 0.0111, acc: 0.9975
00:16:47 valid - loss: 0.2247, acc: 0.9333
Epoch 155, lr 0.052454
00:17:28 train - loss: 0.0128, acc: 0.9970
00:17:31 valid - loss: 0.2079, acc: 0.9385
Epoch 156, lr 0.050298
00:18:12 train - loss: 0.0123, acc: 0.9973
00:18:15 valid - loss: 0.2210, acc: 0.9388
Epoch 157, lr 0.048181
00:18:56 train - loss: 0.0080, acc: 0.9987
00:18:59 valid - loss: 0.2039, acc: 0.9419
Epoch 158, lr 0.046103
00:19:40 train - loss: 0.0061, acc: 0.9993
00:19:43 valid - loss: 0.1838, acc: 0.9448
Epoch 159, lr 0.044065
00:20:24 train - loss: 0.0049, acc: 0.9995
00:20:27 valid - loss: 0.1813, acc: 0.9493
Epoch 160, lr 0.042068
00:21:08 train - loss: 0.0045, acc: 0.9997
00:21:11 valid - loss: 0.1717, acc: 0.9499
Epoch 161, lr 0.040111
00:21:52 train - loss: 0.0030, acc: 0.9999
00:21:55 valid - loss: 0.1596, acc: 0.9523
Epoch 162, lr 0.038197
00:22:36 train - loss: 0.0028, acc: 0.9998
00:22:39 valid - loss: 0.1614, acc: 0.9536
Epoch 163, lr 0.036324
00:23:20 train - loss: 0.0025, acc: 0.9999
00:23:23 valid - loss: 0.1563, acc: 0.9543
Epoch 164, lr 0.034493
00:24:04 train - loss: 0.0023, acc: 0.9999
00:24:07 valid - loss: 0.1532, acc: 0.9541
Epoch 165, lr 0.032706
00:24:48 train - loss: 0.0022, acc: 1.0000
00:24:51 valid - loss: 0.1534, acc: 0.9545
Epoch 166, lr 0.030962
00:25:32 train - loss: 0.0021, acc: 1.0000
00:25:36 valid - loss: 0.1449, acc: 0.9549
Epoch 167, lr 0.029262
00:26:17 train - loss: 0.0021, acc: 1.0000
00:26:20 valid - loss: 0.1459, acc: 0.9566
Epoch 168, lr 0.027606
00:27:01 train - loss: 0.0021, acc: 1.0000
00:27:04 valid - loss: 0.1485, acc: 0.9563
Epoch 169, lr 0.025995
00:27:45 train - loss: 0.0022, acc: 1.0000
00:27:48 valid - loss: 0.1548, acc: 0.9548
Epoch 170, lr 0.024429
00:28:29 train - loss: 0.0020, acc: 1.0000
00:28:32 valid - loss: 0.1449, acc: 0.9578
Epoch 171, lr 0.022909
00:29:13 train - loss: 0.0021, acc: 1.0000
00:29:16 valid - loss: 0.1457, acc: 0.9563
Epoch 172, lr 0.021434
00:29:57 train - loss: 0.0021, acc: 1.0000
00:30:00 valid - loss: 0.1452, acc: 0.9564
Epoch 173, lr 0.020006
00:30:41 train - loss: 0.0020, acc: 1.0000
00:30:44 valid - loss: 0.1432, acc: 0.9567
Epoch 174, lr 0.018625
00:31:25 train - loss: 0.0021, acc: 1.0000
00:31:28 valid - loss: 0.1434, acc: 0.9571
Epoch 175, lr 0.017291
00:32:09 train - loss: 0.0021, acc: 1.0000
00:32:12 valid - loss: 0.1433, acc: 0.9573
Epoch 176, lr 0.016004
00:32:53 train - loss: 0.0021, acc: 1.0000
00:32:56 valid - loss: 0.1430, acc: 0.9563
Epoch 177, lr 0.014765
00:33:38 train - loss: 0.0021, acc: 1.0000
00:33:41 valid - loss: 0.1438, acc: 0.9565
Epoch 178, lr 0.013574
00:34:22 train - loss: 0.0020, acc: 1.0000
00:34:25 valid - loss: 0.1422, acc: 0.9573
Epoch 179, lr 0.012432
00:35:06 train - loss: 0.0021, acc: 1.0000
00:35:09 valid - loss: 0.1428, acc: 0.9565
Epoch 180, lr 0.011338
00:35:50 train - loss: 0.0021, acc: 1.0000
00:35:53 valid - loss: 0.1428, acc: 0.9573
Epoch 181, lr 0.010293
00:36:34 train - loss: 0.0021, acc: 1.0000
00:36:37 valid - loss: 0.1426, acc: 0.9566
Epoch 182, lr 0.009297
00:37:18 train - loss: 0.0021, acc: 1.0000
00:37:21 valid - loss: 0.1428, acc: 0.9565
Epoch 183, lr 0.008351
00:38:02 train - loss: 0.0020, acc: 1.0000
00:38:05 valid - loss: 0.1418, acc: 0.9571
Epoch 184, lr 0.007454
00:38:46 train - loss: 0.0021, acc: 1.0000
00:38:50 valid - loss: 0.1418, acc: 0.9566
Epoch 185, lr 0.006608
00:39:31 train - loss: 0.0021, acc: 1.0000
00:39:34 valid - loss: 0.1427, acc: 0.9575
Epoch 186, lr 0.005812
00:40:15 train - loss: 0.0021, acc: 1.0000
00:40:18 valid - loss: 0.1420, acc: 0.9570
Epoch 187, lr 0.005066
00:40:59 train - loss: 0.0020, acc: 1.0000
00:41:02 valid - loss: 0.1428, acc: 0.9574
Epoch 188, lr 0.004370
00:41:43 train - loss: 0.0021, acc: 1.0000
00:41:46 valid - loss: 0.1416, acc: 0.9574
Epoch 189, lr 0.003726
00:42:27 train - loss: 0.0021, acc: 1.0000
00:42:30 valid - loss: 0.1419, acc: 0.9565
Epoch 190, lr 0.003132
00:43:11 train - loss: 0.0021, acc: 1.0000
00:43:14 valid - loss: 0.1423, acc: 0.9560
Epoch 191, lr 0.002590
00:43:55 train - loss: 0.0021, acc: 1.0000
00:43:58 valid - loss: 0.1421, acc: 0.9565
Epoch 192, lr 0.002099
00:44:39 train - loss: 0.0021, acc: 1.0000
00:44:42 valid - loss: 0.1410, acc: 0.9573
Epoch 193, lr 0.001659
00:45:23 train - loss: 0.0020, acc: 1.0000
00:45:26 valid - loss: 0.1414, acc: 0.9575
Epoch 194, lr 0.001270
00:46:07 train - loss: 0.0021, acc: 1.0000
00:46:10 valid - loss: 0.1422, acc: 0.9566
Epoch 195, lr 0.000934
00:46:51 train - loss: 0.0021, acc: 1.0000
00:46:54 valid - loss: 0.1418, acc: 0.9573
Epoch 196, lr 0.000649
00:47:35 train - loss: 0.0020, acc: 1.0000
00:47:38 valid - loss: 0.1413, acc: 0.9576
Epoch 197, lr 0.000415
00:48:20 train - loss: 0.0021, acc: 1.0000
00:48:23 valid - loss: 0.1417, acc: 0.9564
Epoch 198, lr 0.000234
00:49:04 train - loss: 0.0021, acc: 1.0000
00:49:07 valid - loss: 0.1410, acc: 0.9569
Epoch 199, lr 0.000104
00:49:48 train - loss: 0.0021, acc: 1.0000
00:49:51 valid - loss: 0.1411, acc: 0.9565
Epoch 200, lr 0.000026
00:50:32 train - loss: 0.0021, acc: 1.0000
00:50:35 valid - loss: 0.1416, acc: 0.9568
